  2026-06-06 → 2026-06-11 : 639,000 bougies, 111,054,866 ticks
  2026-06-11 → 2026-06-16 : 643,130 bougies, 111,861,545 ticks
  2026-06-16 → 2026-06-21 : 647,554 bougies, 112,680,281 ticks
  2026-06-21 → 2026-06-26 : 653,915 bougies, 113,950,091 ticks
  2026-06-26 → 2026-07-01 : 658,045 bougies, 114,709,760 ticks
  2026-07-01 → 2026-07-06 : 661,941 bougies, 115,405,316 ticks
  2026-07-06 → 2026-07-11 : 667,978 bougies, 116,493,301 ticks
  2026-07-11 → 2026-07-16 : 672,961 bougies, 117,424,373 ticks
  2026-07-16 → 2026-07-21 : 677,091 bougies, 118,205,371 ticks
  2026-07-21 → 2026-07-26 : 681,750 bougies, 119,050,700 ticks
  2026-07-26 → 2026-07-31 : 688,111 bougies, 120,227,393 ticks
  2026-07-31 → 2026-08-05 : 692,241 bougies, 120,948,152 ticks
  2026-08-05 → 2026-08-10 : 696,371 bougies, 121,730,109 ticks

696,371 bougies de 60 s écrites dans data\xauusd_m1_long.csv
depuis 121,730,109 ticks.
